Vendor,البائع
Reset Filter,ترشيح اعادة تعين,module,Magento_Backend,,,,
Search,بحث,module,Magento_Backend,,,,
Any,اي,module,Magento_Backend,,,,
All Countries,جميع الدول,module,Magento_Backend,,,,
From,من,module,Magento_Backend,,,,
To,إلى,module,Magento_Backend,,,,
Date selector,اختيار التاريخ,module,Magento_Backend,,,,
[ deleted ],[محذوف],module,Magento_Backend,,,,
Select All,اختيار الكل,module,Magento_Backend,,,,
 [deleted], [محذوف],module,Magento_Backend,,,,
We couldn't find any records.,لم يتم العثور على أي سجلات.,module,Magento_Backend,,,,
Add New,إضافة جديد,module,Magento_Backend,,,,
Invalid export type supplied for grid export block,نوع التصدير المحدد غير صالح لكتلة تصدير الشبكة,module,Magento_Backend,,,,
Export,استخراج,module,Magento_Backend,,,,
Please correct the column format and try again.,الرجاء تصحيح تنسيق العمود وحاول مرة أخرى.,module,Magento_Backend,,,,
An item needs to be selected. Select and try again.,يجب تحديد عنصر. حدد وحاول مرة أخرى.,module,Magento_Backend,,,,
Submit,إرسال,module,Magento_Backend,,,,
Unknown block type,نوع block غير معروف,module,Magento_Backend,,,,
Please correct the tab configuration and try again. Tab Id should be not empty,الرجاء تصحيح اعدادات التبويب ثم حاول مرة أخرى. يجب أن يكون معرف علامة التبويب غير فارغ,module,Magento_Backend,,,,
Please correct the tab configuration and try again.,الرجاء تصحيح ضبط التبويب ثم حاول مرة أخرى.,module,Magento_Backend,,,,
You have logged out.,لقد سجلت خروجك.,module,Magento_Backend,,,,
These cache type(s) don't exist: %1,أنواع ذاكرة التخزين المؤقت هذه غير موجودة: %1,module,Magento_Backend,,,,
The image cache was cleaned., تم مسح ذاكرة تخزين الصور.,module,Magento_Backend,,,,
An error occurred while clearing the image cache.,حدث خطأ أثناء مسح ذاكرة تخزين الصور.,module,Magento_Backend,,,,
The JavaScript/CSS cache has been cleaned.,تم تنظيف ذاكرة تخزين JavaScript/CSS ,module,Magento_Backend,,,,
An error occurred while clearing the JavaScript/CSS cache.,حدث خطأ أثناء مسح ذاكرة التخزين الخاصة ب JavaScript/CSS,module,Magento_Backend,,,,
The static files cache has been cleaned.,وقد تم تنظيف ذاكرة التخزين الخاصة بالملفات الثابتة.,module,Magento_Backend,,,,
You flushed the cache storage.,لقد تم مسح محتويات ذاكرة التخزين المؤقت.,module,Magento_Backend,,,,
The Magento cache storage has been flushed.,تم مسح محتويات ذاكرة التخزين المؤقت الخاصة بماجنتو.,module,Magento_Backend,,,,
Cache Management,إدارة ذاكرة التخزين المؤقت,module,Magento_Backend,,,,
You can't change status of cache type(s) in production mode,لا يمكنك تغيير حالة نوع (أنواع) ذاكرة التخزين المؤقت في وضع الإنتاج,module,Magento_Backend,,,,
%1 cache type(s) disabled.,%1 نوع ذاكرة التخزين المؤقت معطل.,module,Magento_Backend,,,,
An error occurred while disabling cache.,حدث خطأ أثناء تفعيل ذاكرة التخزين المؤقت.,module,Magento_Backend,,,,
%1 cache type(s) enabled.,%1 من انواع ذاكرة التخزين المؤقتة مفعلة,module,Magento_Backend,,,,
An error occurred while enabling cache.,حدث خطأ أثناء تفعيل ذاكرة التخزين المؤقت.,module,Magento_Backend,,,,
%1 cache type(s) refreshed.,لقد نم تفعيل انواع ذاكرة التخزين المؤقت %1,module,Magento_Backend,,,,
An error occurred while refreshing cache.,حدث خطأ أثناء تحديث ذاكرة التخزين المؤقت.,module,Magento_Backend,,,,
Dashboard,لوحة التحكم,module,Magento_Backend,,,,
We updated lifetime statistic.,قمنا بتحديث احصائيات مدى الحياة.,module,Magento_Backend,,,,
We can't refresh lifetime statistics.,ونحن لا يمكن تحديث احصاءات مدى الحياة.,module,Magento_Backend,,,,
invalid request,طلب غير صالح,module,Magento_Backend,,,,
see error log for details,راجع سجل الأخطاء للحصول على التفاصيل,module,Magento_Backend,,,,
Service unavailable: %1,الخدمة غير متاحة: %1,module,Magento_Backend,,,,
Error,خطأ,module,Magento_Backend,,,,
Access Denied.,دخول مرفوض.,module,Magento_Backend,,,,
You need more permissions to do this.,تحتاج لصلاحية اكبر للقيام بذلك,module,Magento_Backend,,,,
No search modules were registered,لم يتم تسجيل أية وحدات بحث,module,Magento_Backend,,,,
Please make sure that all global admin search modules are installed and activated.,يرجى التأكد من ان جميع وحدات البحث العالمية الادارة مثبته ومفعله.,module,Magento_Backend,,,,
You saved the account.,قمت بحفظ الحساب.,module,Magento_Backend,,,,
An error occurred while saving account.,حدث خطأ أثناء حفظ حساب.,module,Magento_Backend,,,,
You deleted the design change.,قمت بحذف تغيير التصميم.,module,Magento_Backend,,,,
You can't delete the design change.,لا يمكنك حذف تغيير التصميم.,module,Magento_Backend,,,,
Store Design,تصميم المتجر,module,Magento_Backend,,,,
Edit Store Design Change,تعديل تغيير تصميم المتجر,module,Magento_Backend,,,,
You saved the design change.,قمت بحفظ تغيير التصميم.,module,Magento_Backend,,,,
System,النظام,module,Magento_Backend,,,,
Manage Stores,إدارة المتاجر,module,Magento_Backend,,,,
The database was backed up.,تم اعداد نسخ احتياطي لقاعدة البيانات.,module,Magento_Backend,,,,
We can't create a backup right now. Please try again later.,لم نتمكن من انشاء نسخة احتياطية. حاول مرة اخرى.,module,Magento_Backend,,,,
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.",حذف %1 لن يحذف المعلوات المرتبطة بـ %1 (مثل التصنيف، المنتجات، الخ)، لكن لن يمكن استعادة %1. يقترح إنشاء نسخة إحتياطية من قواعد البيانات قبل حذف %1.,module,Magento_Backend,,,,
Something went wrong. Please try again.,حدث خطأ ما. الرجاء المحاولة مرة أخرى.,module,Magento_Backend,,,,
This store cannot be deleted.,لا يمكن حذف هذا المتجر.,module,Magento_Backend,,,,
You deleted the store.,لقد حذفت المتجر.,module,Magento_Backend,,,,
Unable to delete the store. Please try again later.,غير قادر على حذف المتجر. من فضلك، حاول مرة أخرى لاحقاً.,module,Magento_Backend,,,,
This store view cannot be deleted.,لا يمكن حذف عرض المتجر هذا.,module,Magento_Backend,,,,
Store View,عرض المتجر,module,Magento_Backend,,,,
You deleted the store view.,تم حذف واجهة المتجر.,module,Magento_Backend,,,,
Unable to delete the store view. Please try again later.,غير قادر على حذف واجهة المتجر. من فضلك، حاول مرة أخرى لاحقاً.,module,Magento_Backend,,,,
This website cannot be deleted.,لا يمكن حذف هذا الموقع.,module,Magento_Backend,,,,
You deleted the website.,لقد حذفت الموقع.,module,Magento_Backend,,,,
Unable to delete the website. Please try again later.,غير قادر على حذف الموقع. من فضلك، حاول مرة أخرى لاحقاً.,module,Magento_Backend,,,,
The website does not exist.,الموقع غير موجود.,module,Magento_Backend,,,,
Before modifying the website code please make sure it is not used in index.php.,قبل تعديل رمز الموقع يرجى التأكد من أنها لا تستخدم في index.php.,module,Magento_Backend,,,,
The store does not exist,المتجر غير موجود,module,Magento_Backend,,,,
Store view doesn't exist,عرض المتجر غير موجود,module,Magento_Backend,,,,
Before modifying the store view code please make sure it is not used in index.php.,قبل تعديل رمز عرض المتجر يرجى التأكد من أنها لا تستخدم في index.php.,module,Magento_Backend,,,,
New ,جديد ,module,Magento_Backend,,,,
All Stores,جميع المتاجر,module,Magento_Backend,,,,
Please enable your Store View before using this Web Site as Default,يرجى تفعيل عرض المتجر قبل استخدام هذا الموقع كافتراضي,module,Magento_Backend,,,,
You saved the website.,قمت بحفظ موقع شبكة الإنترنت.,module,Magento_Backend,,,,
The default store cannot be disabled,لا يمكن تعطيل المتجر الافتراضي,module,Magento_Backend,,,,
You saved the store view.,لقد حفظت واجهة المتجر.,module,Magento_Backend,,,,
An inactive store view cannot be saved as default store view,لا يمكن حفظ واجهة متجر غير نشط كواجهة افتراضية,module,Magento_Backend,,,,
You saved the store.,قمت بحفظ المتجر.,module,Magento_Backend,,,,
Something went wrong while saving. Please review the error log.,حدث خطأ أثناء الحفظ. الرجاء مراجعة سجل الأخطاء.,module,Magento_Backend,,,,
Authentication storage is incorrect.,مصادقة التخزين غير صحيحة.,module,Magento_Backend,,,,
The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.,بيانات تسجيل الدخول غير صحيحة أو تم تعطيل حسابك مؤقتًا. يرجى الانتظار والمحاولة لاحقًا.,module,Magento_Backend,,,,
An authentication error occurred. Verify and try again.,حدث خطأ في المصادقة. تحقق وحاول مرة أخرى.,module,Magento_Backend,,,,
The Admin session lifetime is invalid. Set the lifetime to 31536000 seconds (one year) or shorter and try again.,مدة جلسة المسؤول غير صالحة. اضبط المدة على 31536000 ثانية (سنة واحدة) أو أقل وحاول مرة أخرى.,module,Magento_Backend,,,,
The Admin session lifetime is invalid. Set the lifetime to 60 seconds or longer and try again.,مدة جلسة المسؤول غير صالحة. اضبط المدة على 60 ثانية أو أكثر وحاول مرة أخرى.,module,Magento_Backend,,,,
Last 24 Hours,ال 24 ساعة الماضية,module,Magento_Backend,,,,
Last 7 Days,آخر 7 أيام,module,Magento_Backend,,,,
Current Month,الشهر الحالي,module,Magento_Backend,,,,
YTD,منذ سنة,module,Magento_Backend,,,,
2YTD,منذ سنتين,module,Magento_Backend,,,,
Order,طلب,module,Magento_Backend,,,,
Order #%1,رقم الطلب #%1,module,Magento_Backend,,,,
"URL key ""%1"" matches a reserved endpoint name (%2). Use another URL key.","مفتاح الرابط ""%1"" يتطابق مع اسم نقطة نهاية محجوزة (%2). استخدم مفتاح رابط آخر.",module,Magento_Backend,,,,
Save &amp,حفظ ومتابعة,Save &amp, Continue,module,Magento_Backend,,
Save &amp,حفظ وإغلاق,Save &amp, Close,module,Magento_Backend,,
Save &amp,حفظ وجديد,Save &amp, New,module,Magento_Backend,,
Edit,تعديل,module,Magento_Backend,,,,
"Sorry, you need permissions to view this content.","عذرا، أنت بحاجة إلى أذونات لعرض هذا المحتوى.,module,Magento_Backend
",module,Magento_Backend,,,,
Next steps,"الخطوات التالية,module,Magento_Backend
",module,Magento_Backend,,,,
"If you think this is an error, try signing out and signing in again.","إذا كنت تعتقد أن هذا خطأ، فجرب الخروج وتسجيل الدخول مرة أخرى.,module,Magento_Backend
",module,Magento_Backend,,,,
Contact a system administrator or store owner to gain permissions.,"اتصل بمسؤول النظام أو صاحب المتجر للحصول على الأذونات.,module,Magento_Backend
",module,Magento_Backend,,,,
Return to ,العودة إلى,module,Magento_Backend,,,,
previous page,"الصفحة السابقة,module,Magento_Backend
",module,Magento_Backend,,,,
.,.,module,Magento_Backend,,,,
"Welcome, please sign in",مرحبا، الرجاء تسجيل الدخول,module,Magento_Backend,,,,
Username,اسم المستخدم,module,Magento_Backend,,,,
user name,اسم المستخدم,module,Magento_Backend,,,,
Password,كلمة المرور,module,Magento_Backend,,,,
password,كلمة المرو,module,Magento_Backend,,,,
Sign in,دخول,module,Magento_Backend,,,,
No Data Found,لم يتم العثور على بيانات,module,Magento_Backend,,,,
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","تم تعطيل المخطط. لتمكين المخطط، انقر <a href=""%1""> هنا</a>.",module,Magento_Backend,,,,
Select Range:,حدد نطاق:,module,Magento_Backend,,,,
Last Orders,آخر الطلبات,module,Magento_Backend,,,,
Last Search Terms,كلمات البحث الأخيرة,module,Magento_Backend,,,,
Top Search Terms,أعلى كلمات البحث,module,Magento_Backend,,,,
There are no search keywords.,لا يوجد كلمات بحث.,module,Magento_Backend,,,,
View Statistics For:,عرض إحصائيات عن:,module,Magento_Backend,,,,
All Websites,جميع المواقع,module,Magento_Backend,,,,
Reload Data,إعادة تحميل البيانات,module,Magento_Backend,,,,
Browse Files...,استعراض ملفات...,module,Magento_Backend,,,,
Magento,ماجينتو,module,Magento_Backend,,,,
Copyright &copy,حقوق النشر &copy; %1 Magento Commerce Inc. جميع الحقوق محفوظة.,حقوق الطبع والنشر &copy, Magento Commerce Inc %1 جميع الحقوق محفوظة.,module,Magento_Backend,,
ver. %1,%1 نسخة,module,Magento_Backend,,,,
Magento Admin Panel,لوحة إدارة ماجنتو,module,Magento_Backend,,,,
Account Setting,إعدادات الحساب,module,Magento_Backend,,,,
Customer View,عرض العملاء,module,Magento_Backend,,,,
Sign Out,تسجيل الخروج,module,Magento_Backend,,,,
About the calendar,حول التقويم,module,Magento_Backend,,,,
Close,إغلاق,module,Magento_Backend,,,,
Go Today,الذهاب اليوم,module,Magento_Backend,,,,
Previous,السابق,module,Magento_Backend,,,,
Next,التالي,module,Magento_Backend,,,,
WK,أسبوع,module,Magento_Backend,,,,
Time,الزمن,module,Magento_Backend,,,,
Hour,ساعة,module,Magento_Backend,,,,
Minute,دقيقة,module,Magento_Backend,,,,
JavaScript may be disabled in your browser.,قد يكون جافا سكريبت معطل في المستعرض الخاص بك.,module,Magento_Backend,,,,
To use this website you must first enable JavaScript in your browser.,لاستخدام هذا الموقع يجب عليك أولاً تمكين جافا سكريبت في المستعرض الخاص بك.,module,Magento_Backend,,,,
"This is only a demo store. You can browse and place orders, but nothing will be processed.",هذا متجر تجريبي فقط. يمكنك استعراض ووضع الأوامر، ولكن لا شيء سيتم تجهيزه.,module,Magento_Backend,,,,
Privacy Policy,سياسة الخصوصية,module,Magento_Backend,,,,
Report an Issue,بلغ عن مشكلة,module,Magento_Backend,,,,
Scope:,النطاق:,module,Magento_Backend,,,,
Stores Configuration,ضبط المتاجر,module,Magento_Backend,,,,
Please confirm scope switching. All data that hasn't been saved will be lost.,الرجاء التأكد من تحويل النطاق. سيتم فقدان كافة البيانات التي لم يتم حفظها.,module,Magento_Backend,,,,
Additional Cache Management,إدارة ذاكرة التخزين المؤقت الإضافية,module,Magento_Backend,,,,
Flush Catalog Images Cache,مسح التخزين المؤقت للصور,module,Magento_Backend,,,,
Pregenerated product images files,ملفات صور منتجة سابقا للمنتج,module,Magento_Backend,,,,
Flush JavaScript/CSS Cache,مسح ملفات جافا سكريبت/الثيم من ذاكرة التخزين المؤقت,module,Magento_Backend,,,,
Themes JavaScript and CSS files combined to one file,ملفات CSS وجافا سكريبت للثيم مجتمعة في ملف واحد,module,Magento_Backend,,,,
Flush Static Files Cache,مسح ذاكرة التخزين المؤقت للملفات الثابتة,module,Magento_Backend,,,,
Preprocessed view files and static files,ملفات الواجهة والملفات الثابتة معالجة مسبقا,module,Magento_Backend,,,,
Catalog,دليل المنتجات,module,Magento_Backend,,,,
JavaScript/CSS,جافا سكريبت/المغلق,module,Magento_Backend,,,,
JavaScript/CSS Cache,ذاكرة التخزين المؤقت للجافا سكريبت/المغلق,module,Magento_Backend,,,,
No records found.,لم يتم العثور على سجلات.,module,Magento_Backend,,,,
Images,صور,module,Magento_Backend,,,,
Big Image,صورة كبيرة,module,Magento_Backend,,,,
Thumbnail,صورة مصغره,module,Magento_Backend,,,,
Additional Settings,إعدادات إضافية,module,Magento_Backend,,,,
records found,تم العثور على سجلات,module,Magento_Backend,,,,
selected,مُحدد,module,Magento_Backend,,,,
per page,لكل صفحة,module,Magento_Backend,,,,
Previous page,الصفحة السابقة,module,Magento_Backend,,,,
of %1,من %1,module,Magento_Backend,,,,
Next page,الصفحة التالية,module,Magento_Backend,,,,
Export to:,تصدر الى:,module,Magento_Backend,,,,
Actions,اعمال,module,Magento_Backend,,,,
Mass Actions,الإجراءات الجماعية,module,Magento_Backend,,,,
Unselect All,غير منتقي للجميع,module,Magento_Backend,,,,
Select Visible,اختيار الظهور,module,Magento_Backend,,,,
Unselect Visible,غير مختار الظاهر,module,Magento_Backend,,,,
Changes have been made to this section that have not been saved.,تم إجراء تغييرات في هذا القسم و التي لم يتم حفظها.,module,Magento_Backend,,,,
This tab contains invalid data. Please resolve this before saving.,تحتوي علامة التبويب هذه على بيانات غير صالحة. الرجاء حل هذه قبل الحفظ.,module,Magento_Backend,,,,
The information in this tab has been changed.,لقد تم تغيير المعلومات الموجودة في علامة التبويب هذه.,module,Magento_Backend,,,,
Loading...,جاري التحميل...,module,Magento_Backend,,,,
User Agent Rules,صلاحيات المستخدم,module,Magento_Backend,,,,
User agent exceptions override product and CMS pages rules.,استثناءات وكيل المستخدم تتجاوز قواعد صفحات المنتجات ونظام إدارة المحتوى.,module,Magento_Backend,,,,
Search strings are either normal strings or regular expressions (PCRE). They are matched in the same order as entered.,سلاسل البحث إما نصوص عادية أو تعبيرات نمطية (PCRE). يتم مطابقتها بنفس ترتيب إدخالها.,module,Magento_Backend,,,,
Examples,أمثلة,module,Magento_Backend,,,,
Use Default Value,استخدام القيمة الافتراضية,module,Magento_Backend,,,,
We could not detect a size.,تعذر الكشف عن الحجم.,module,Magento_Backend,,,,
Warning message,رسالة تحذير,module,Magento_Backend,,,,
This operation can take a long time,قد تستغرق هذه العملية وقتاً طويلاً,module,Magento_Backend,,,,
Allow everything,السماح لكل شيء,module,Magento_Backend,,,,
Magento Admin,مشرف ماجنتو,module,Magento_Backend,,,,
Global Search,بحث عام,module,Magento_Backend,,,,
Marketing,التسويق,module,Magento_Backend,,,,
SEO & Search,البحث ومحسنات محركات البحث,module,Magento_Backend,,,,
User Content,محتويات المستخدم,module,Magento_Backend,,,,
Content,المحتوى,module,Magento_Backend,,,,
Elements,عناصر,module,Magento_Backend,,,,
Design,تصميم,module,Magento_Backend,,,,
Schedule,الجدول الزمني,module,Magento_Backend,,,,
Content translation,ترجمة المحتوى,module,Magento_Backend,,,,
Settings,الإعدادات,module,Magento_Backend,,,,
Attributes,الصفات,module,Magento_Backend,,,,
Other Settings,إعدادات أخرى,module,Magento_Backend,,,,
Data Transfer,نقل البيانات,module,Magento_Backend,,,,
Magento Connect,Magento تواصل,module,Magento_Backend,,,,
Connect Manager,إدارة الاتصال,module,Magento_Backend,,,,
Package Extensions,مجموعة التحويلات,module,Magento_Backend,,,,
Tools,ادوات,module,Magento_Backend,,,,
Clean Cache Actions,إجراءات تنظيف ذاكرة التخزين المؤقت,module,Magento_Backend,,,,
Cache Types Management,إدارة أنواع ذاكرة التخزين المؤقت,module,Magento_Backend,,,,
Toggle Cache Type,تبديل نوع ذاكرة التخزين المؤقت,module,Magento_Backend,,,,
Refresh Cache Type,تحديث نوع ذاكرة التخزين المؤقت,module,Magento_Backend,,,,
Catalog Images Cache,ذاكرة التخزين المؤقت لصور الكتالوج,module,Magento_Backend,,,,
Flush Js/Css,مسح Js/Css,module,Magento_Backend,,,,
Flush Static Files,مسح الملفات الثابتة,module,Magento_Backend,,,,
Currency,العملة,module,Magento_Backend,,,,
Communications,الاتصالات,module,Magento_Backend,,,,
Services,خدمات,module,Magento_Backend,,,,
Advanced,متقدم,module,Magento_Backend,,,,
Disable Modules Output,تعطيل وحدات الإخراج,module,Magento_Backend,,,,
Store Email Addresses,عناوين البريد الإلكتروني للمتجر,module,Magento_Backend,,,,
Custom Email 1,البريد الإلكتروني المخصص 1,module,Magento_Backend,,,,
Sender Email,البريد الإلكتروني للمرسل,module,Magento_Backend,,,,
Sender Name,اسم المرسل,module,Magento_Backend,,,,
Custom Email 2,البريد الإلكتروني المخصص 1,module,Magento_Backend,,,,
General Contact,وسيلة الاتصال العامة,module,Magento_Backend,,,,
Sales Representative,مندوب مبيعات,module,Magento_Backend,,,,
Customer Support,دعم العملاء,module,Magento_Backend,,,,
Developer,مطور,module,Magento_Backend,,,,
Debug,نقح,module,Magento_Backend,,,,
Enable Template Path Hints for Storefront,تفعيل تلميحات مسار القالب لواجهة المتجر,module,Magento_Backend,,,,
Enable Hints for Storefront with URL Parameter,تفعيل التلميحات لواجهة المتجر باستخدام معامل URL,module,Magento_Backend,,,,
Use URL parameter to enable template path hints for Storefront,استخدام معامل URL لتفعيل تلميحات مسار القالب لواجهة المتجر,module,Magento_Backend,,,,
Parameter Value,قيمة المعامل,module,Magento_Backend,,,,
Add the following parameter to the URL to show template hints ?templatehints=[parameter_value],أضف المعامل التالي إلى URL لإظهار تلميحات القالب ?templatehints=[parameter_value],module,Magento_Backend,,,,
Enable Template Path Hints for Admin,تفعيل تلميحات مسار القالب للوحة الإدارة,module,Magento_Backend,,,,
Add Block Class Type to Hints,إضافة نوع فئة الكتلة إلى التلميحات,module,Magento_Backend,,,,
Template Settings,إعدادات القالب,module,Magento_Backend,,,,
Allow Symlinks,السماح بالروابط الرمزية,module,Magento_Backend,,,,
"<strong class=""colorRed"">Warning!</strong> Enabling this feature is not recommended on production environments because it represents a potential security risk.","<strong class=""colorRed"">تحذير!</strong> لا يُنصح بتفعيل هذه الميزة في بيئات الإنتاج لأنها تمثل خطراً أمنياً محتملاً.",module,Magento_Backend,,,,
Minify Html,صغر Html,module,Magento_Backend,,,,
Minification is not applied in developer mode.,لا يتم تطبيق التصغير في وضع المطور.,module,Magento_Backend,,,,
Translate Inline,الترجمة المضمنة,module,Magento_Backend,,,,
Enabled for Storefront,تمكين للواجهة,module,Magento_Backend,,,,
Enabled for Admin,مفعل للمشرف,module,Magento_Backend,,,,
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.",ترجمة القوائم و المخرجات الأخرى يجب أن تكون معطلة لترجمات المشرف المضمنة و الواجهة.,module,Magento_Backend,,,,
JavaScript Settings,إعدادات جافا سكريبت,module,Magento_Backend,,,,
Merge JavaScript Files,دمج ملفات JavaScript,module,Magento_Backend,,,,
Enable JavaScript Bundling,تمكين تجميع جافا سكريبت,module,Magento_Backend,,,,
Minify JavaScript Files,صغر ملفات JavaScript,module,Magento_Backend,,,,
CSS Settings,إعدادات CSS,module,Magento_Backend,,,,
Merge CSS Files,دمج ملفات CSS,module,Magento_Backend,,,,
Minify CSS Files,صغر ملفات CSS,module,Magento_Backend,,,,
Image Processing Settings,إعدادات معالجة الصور,module,Magento_Backend,,,,
Image Adapter,محول الصورة,module,Magento_Backend,,,,
"When the adapter was changed, please flush Catalog Images Cache.",عند تغيير المحول، يُرجى مسح ذاكرة التخزين المؤقت لصور الكتالوج.,module,Magento_Backend,,,,
Static Files Settings,إعدادات الملفات الثابتة,module,Magento_Backend,,,,
Sign Static Files,توقيع الملفات الثابتة,module,Magento_Backend,,,,
Country Options,خيارات البلد,module,Magento_Backend,,,,
Allow Countries,السماح للبلدان,module,Magento_Backend,,,,
Default Country,البلد الافتراضي,module,Magento_Backend,,,,
European Union Countries,بلدان الاتحاد الأوروبي,module,Magento_Backend,,,,
Top destinations,أفضل الوجهات,module,Magento_Backend,,,,
Locale Options,خيارات اللغة,module,Magento_Backend,,,,
Timezone,منطقة التوقيت,module,Magento_Backend,,,,
Locale,محلي,module,Magento_Backend,,,,
First Day of Week,أول يوم في الأسبوع,module,Magento_Backend,,,,
Weekend Days,أيام نهاية الأسبوع,module,Magento_Backend,,,,
Store Name,اسم المتجر,module,Magento_Backend,,,,
Store Phone Number,تخزين رقم الهاتف,module,Magento_Backend,,,,
Store Hours of Operation,ساعات التشغيل للموقع,module,Magento_Backend,,,,
Country,الدولة,module,Magento_Backend,,,,
Region/State,المنطقة / الولايه,module,Magento_Backend,,,,
ZIP/Postal Code,الرمز البريدي,module,Magento_Backend,,,,
City,المدينة,module,Magento_Backend,,,,
Street Address,عنوان الشارع,module,Magento_Backend,,,,
Street Address Line 2,عنوان الشارع سطر ٢,module,Magento_Backend,,,,
VAT Number,رقم ضريبة القيمة المضافة,module,Magento_Backend,,,,
Single-Store Mode,وضع متجر واحد,module,Magento_Backend,,,,
Enable Single-Store Mode,تمكين وضع متجر واحد,module,Magento_Backend,,,,
This setting will not be taken into account if system has more than one store view.,هذا الإعداد لن يؤخذ في الاعتبار إذا كان النظام لديه اكثر من متجر واحد.,module,Magento_Backend,,,,
Mail Sending Settings,إعدادات إرسال البريد,module,Magento_Backend,,,,
Disable Email Communications,تعطيل البريد الإلكتروني والاتصالات,module,Magento_Backend,,,,
Host,المضيف,module,Magento_Backend,,,,
For Windows server only.,لخادم Windows فقط.,module,Magento_Backend,,,,
Port (25),منفذ (25),module,Magento_Backend,,,,
Please enter at least 0 and at most 65535 (For Windows server only).,يُرجى إدخال قيمة بين 0 و 65535 على الأقل (لخادم Windows فقط).,module,Magento_Backend,,,,
Set Return-Path,تعيين مسار العودة,module,Magento_Backend,,,,
Return-Path Email,مسار العودة-البريد الإلكتروني,module,Magento_Backend,,,,
Images Upload Configuration,إعدادات رفع الصور,module,Magento_Backend,,,,
Enable Frontend Resize,تفعيل تغيير الحجم من الواجهة الأمامية,module,Magento_Backend,,,,
Resize performed via javascript before file upload.,يتم تغيير الحجم عبر javascript قبل رفع الملف.,module,Magento_Backend,,,,
Maximum Width,العرض الأقصى,module,Magento_Backend,,,,
Maximum allowed width for uploaded image.,الحد الأقصى المسموح به لعرض الصورة المرفوعة.,module,Magento_Backend,,,,
Maximum Height,الارتفاع الأقصى,module,Magento_Backend,,,,
Maximum allowed height for uploaded image.,الحد الأقصى المسموح به لارتفاع الصورة المرفوعة.,module,Magento_Backend,,,,
Admin,المدير,module,Magento_Backend,,,,
Admin User Emails,البريد الإلكتروني للمدير,module,Magento_Backend,,,,
Forgot Password Email Template,نسيت كلمة السر البريد الالكتروني قالب,module,Magento_Backend,,,,
"Email template chosen based on theme fallback when ""Default"" option is selected.","اختيار قالب البريد الإلكتروني استناداً إلى الثيم عند تحديد الخيار ""الإفتراضي"".",module,Magento_Backend,,,,
Forgot and Reset Email Sender,البريد الإلكنروني لـ نسيت كلمة السر,module,Magento_Backend,,,,
Startup Page,صفحة بدء التشغيل,module,Magento_Backend,,,,
Admin Base URL,عنوان صفحة المدير,module,Magento_Backend,,,,
Use Custom Admin URL,استخدام URL مخصص للمدير,module,Magento_Backend,,,,
Custom Admin URL,عنوان URL مخصص للمدير,module,Magento_Backend,,,,
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/",تأكد من أن عنوان URL الأساسي ينتهي ب '/' ، مثل http://yourdomain/magento/,module,Magento_Backend,,,,
Use Custom Admin Path,استخدام المسار المعدل للمدير,module,Magento_Backend,,,,
Custom Admin Path,مسار المسؤول معدل,module,Magento_Backend,,,,
You will have to sign in after you save your custom admin path.,يجب عليك إعادة تسجيل الدخول بعد أن قمت بحفظ مسار المدير المخصص.,module,Magento_Backend,,,,
Security,الحماية,module,Magento_Backend,,,,
Recovery Link Expiration Period (hours),عمر الصلاحية لرابط الاسترداد (ساعات),module,Magento_Backend,,,,
Please enter a number 1 or greater in this field.,الرجاء إدخال رقم 1 أو أكبر في هذا الحقل.,module,Magento_Backend,,,,
Add Secret Key to URLs,أضف مفتاح سري للروابط,module,Magento_Backend,,,,
Login is Case Sensitive,تسجيل الدخول يحتسب حالة الأحرف,module,Magento_Backend,,,,
Admin Session Lifetime (seconds),مدة جلسة المدير (بالثواني),module,Magento_Backend,,,,
Please enter at least 60 and at most 31536000 (one year).,الرجاء إدخال 60 على الأقل، وعلى الأكثر 31536000 (سنة واحدة).,module,Magento_Backend,,,,
Enable Charts,تمكين المخططات,module,Magento_Backend,,,,
Web,موقع,module,Magento_Backend,,,,
Url Options,خيارات الموقع,module,Magento_Backend,,,,
Add Store Code to Urls,رمز المخزن اضافة الى عناوين المواقع,module,Magento_Backend,,,,
"<strong class=""colorRed"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third-party services (e.g. PayPal etc.).","<strong class=""colorRed"">تحذير!</strong> عند استخدام رمز المتجر في عناوين URL، قد لا يعمل النظام بشكل صحيح في بعض الحالات إذا تم تحديد عناوين URL بدون رموز المتجر في خدمات الطرف الثالث (مثل PayPal وغيرها).",module,Magento_Backend,,,,
Auto-redirect to Base URL,إعادة التوجيه آلية إلى الربط الأساس,module,Magento_Backend,,,,
I.e. redirect from http://example.com/store/ to http://www.example.com/store/,أي إعادة توجيه من http://example.com/store/ إلى http://www.example.com/store/,module,Magento_Backend,,,,
Search Engine Optimization,تحسين محرك البحث,module,Magento_Backend,,,,
